state_code,county_code,county_name,state_name,geo_center
18,121,Parke,Indiana,"39 46m 25.0322s N, 87 12m 22.922s W"
19,17,Bremer,Iowa,"42 46m 28.5141s N, 92 19m 4.9974s W"
48,343,Morris,Texas,"33 6m 48.5373s N, 94 43m 57.5413s W"
50,1,Addison,Vermont,"44 1m 51.2725s N, 73 8m 27.3889s W"
29,185,St. Clair,Missouri,"38 2m 13.8408s N, 93 46m 33.5127s W"
16,63,Lincoln,Idaho,"43 0m 8.63531s N, 114 8m 17.5229s W"
47,39,Decatur,Tennessee,"35 36m 10.8711s N, 88 6m 31.582s W"
38,41,Hettinger,North Dakota,"46 25m 57.0041s N, 102 27m 37.0095s W"
60,40,Swains Island,American Samoa,"11 3m 15.7932s S, 171 4m 29.7466s W"
18,93,Lawrence,Indiana,"38 50m 28.1864s N, 86 29m 0.424071s W"
21,169,Metcalfe,Kentucky,"36 59m 25.9504s N, 85 37m 45.3039s W"
29,155,Pemiscot,Missouri,"36 12m 41.221s N, 89 47m 7.36413s W"
48,319,Mason,Texas,"30 43m 3.77689s N, 99 13m 34.0587s W"
54,99,Wayne,West Virginia,"38 8m 45.4152s N, 82 25m 37.0185s W"
12,131,Walton,Florida,"30 37m 6.48784s N, 86 10m 17.4587s W"
26,103,Marquette,Michigan,"46 39m 46.3607s N, 87 34m 24.6868s W"
31,15,Boyd,Nebraska,"42 53m 58.8651s N, 98 45m 59.263s W"
21,209,Scott,Kentucky,"38 17m 29.5703s N, 84 35m 2.16202s W"
47,13,Campbell,Tennessee,"36 24m 12.6461s N, 84 8m 57.7845s W"
8,67,La Plata,Colorado,"37 17m 11.695s N, 107 50m 35.7745s W"
26,3,Alger,Michigan,"46 56m 53.7692s N, 86 34m 19.7766s W"
72,67,Hormigueros,Puerto Rico,"18 8m 3.05062s N, 67 6m 50.4803s W"
29,109,Lawrence,Missouri,"37 6m 22.8643s N, 93 49m 58.5716s W"
38,81,Sargent,North Dakota,"46 6m 28.5779s N, 97 37m 50.6377s W"
17,29,Coles,Illinois,"39 31m 13.0661s N, 88 13m 18.3126s W"
27,121,Pope,Minnesota,"45 35m 9.67416s N, 95 26m 40.1358s W"
51,57,Essex,Virginia,"37 56m 20.6495s N, 76 56m 27.187s W"
35,47,San Miguel,New Mexico,"35 28m 50.1048s N, 104 48m 57.2326s W"
26,71,Iron,Michigan,"46 12m 31.2015s N, 88 31m 49.9903s W"
5,141,Van Buren,Arkansas,"35 34m 50.3594s N, 92 30m 56.476s W"
39,91,Logan,Ohio,"40 23m 18.504s N, 83 45m 57.0606s W"
